Var1,Var2,Var3,Var4,Var5,Var6,Var7
Akanthophoreus gracilis,0.1139577,5.218905,-0.001,0.7476038,449,Arthropoda
Akanthophoreus phillipsi,1.86293,2.457507,0,0.5609756,49,Arthropoda
Alacia belgicae,0.9063374,1.160301,0.06522934,0.5321101,216,Arthropoda
Alacia hettacra,0.9558692,1.25049,0.0664679,0.6995516,439,Arthropoda
Alacia valdiviae,1.234622,1.087323,0.07135625,0.4134616,229,Arthropoda
Alainodaeus rimatara,0.258176,7.575045,0,0.3960396,78,Arthropoda
Alainopasiphaea australis,0.4663492,4.758711,0.0835174,0.5549738,50,Arthropoda
Alamprops quadriplicatus,0.5560002,6.292285,0,0.7927928,219,Arthropoda
Albunea gibbesii,0.1884732,7.169443,0,0.8070176,114,Arthropoda
Albunea groeningi,0.3392457,9.273122,0,0.6363636,23,Arthropoda
Albunea marquisiana,-0.3859463,2.950135,0.05139948,0.5217391,29,Arthropoda
Albunea speciosa,-0.888065,1.053084,0.07904077,0.5238096,12,Arthropoda
Albunea symmysta,0.1488451,6.514268,0,0.6419753,20,Arthropoda
Alexandrella dentata,0.8547116,1.203266,0.006262559,0.5076923,20,Arthropoda
Alexandrella schellenbergi,0.9224718,1.043603,0.001078189,0.515625,36,Arthropoda
Aliaporcellana suluensis,0.5754105,16.48104,0,0.7826087,113,Arthropoda
Allactaea lithostrota,0.2903593,8.172378,0,0.6153846,42,Arthropoda
Allodiastylis johnstoni,0.1072726,5.677499,0,0.6601942,58,Arthropoda
Allogalathea elegans,0.4418897,12.71085,0,0.7835051,293,Arthropoda
Alloleptochelia longimana,0.1790094,6.764869,0,0.7333333,34,Arthropoda
Allosergestes pectinatus,0.4307631,11.14531,0,0.8782288,753,Arthropoda
Allosergestes sargassi,0.5433196,12.75441,0,0.8903226,827,Arthropoda
Allotanais hirsutus,0.8768734,1.436214,0.09025752,0.6349206,100,Arthropoda
Alpheopsis labis,-0.009935915,5.140154,0,0.6666666,25,Arthropoda
Alpheopsis trispinosa,0.1298529,6.167948,0,0.6271186,60,Arthropoda
Alpheus amblyonyx,-0.01146964,5.126901,0,0.8529412,90,Arthropoda
Alpheus bisincisus,0.2763014,8.806619,0,0.72,27,Arthropoda
Alpheus collumianus,0.1709878,7.577039,0,0.6428571,105,Arthropoda
Alpheus floridanus,-0.5951729,3.02389,0.0756783,0.8044693,291,Arthropoda
Alpheus formosus,-0.001571439,5.404722,0,0.6666666,139,Arthropoda
Alpheus glaber,0.2262439,6.227818,0,0.8674699,1083,Arthropoda
Alpheus hailstonei,0.02888451,5.790542,-0.001,0.5963303,67,Arthropoda
Alpheus heterocarpus,-0.02733696,5.355529,0,0.7698413,98,Arthropoda
Alpheus macrocheles,-0.1258478,7.855919,0.04269315,0.698718,188,Arthropoda
Alpheus macroskeles,1.840724,15.45798,0.0582115,0.2121212,16,Arthropoda
Alpheus paralcyone,-0.4077103,3.26355,0.04151228,0.7341772,41,Arthropoda
Alpheus rapacida,-1.062152,1.812312,0.07828468,0.6524823,91,Arthropoda
Alpheus sizou,0.1437566,6.750198,0,0.6666666,33,Arthropoda
Alpheus spongiarum,0.2435161,8.404284,0,0.6440678,33,Arthropoda
Altelatipes carinatus,1.157858,1.000009,0.008525685,0.2142857,37,Arthropoda
Alternochelata nealei,0.6746715,19.33621,0,0.52,19,Arthropoda
Alternochelata sikorai,0.3118762,7.926386,0,0.6666666,145,Arthropoda
Alteutha depressa,0.04559953,5.387425,0,0.6354166,62,Arthropoda
Alteutha interrupta,0.1161699,5.419227,0,0.8089887,251,Arthropoda
Altiverruca cristallina,0.1769854,6.466388,0,0.2011834,45,Arthropoda
Altiverruca navicula,1.838857,2.175226,0,0.2878788,26,Arthropoda
Altiverruca nitida,NaN,NaN,0,0.3614458,24,Arthropoda
Altopontonia disparostris,0.5557889,6.575225,0,0.48,20,Arthropoda
Alvinocaris longirostris,1.840366,1.247624,-0.0009377513,0.373057,198,Arthropoda
Alvinocaris markensis,0.774634,1.10771,0.09812273,0.8,23,Arthropoda
Alvinocaris muricola,-0.0094817,6.580216,0,0.6666666,96,Arthropoda
Alvinocaris niwa,0.002953378,6.545602,0,0.4313725,25,Arthropoda
Amakusanthura africana,0.2542769,6.670941,0,0.6741573,37,Arthropoda
Amallothrix dentipes,1.024076,1.001344,0.06145355,0.4654088,49,Arthropoda
Amallothrix gracilis,1.135964,2.074144,0.06054487,0.3571429,26,Arthropoda
Amallothrix paravalida,1.225794,1.005281,-0.001,0.3440861,19,Arthropoda
Amallothrix polaris,0.6457121,2.672904,0,0.4590164,33,Arthropoda
Amallothrix propinqua,0.09091482,5.197075,0,0.7042254,254,Arthropoda
Amallothrix tenuiserrata,0.2021519,7.228785,0,0.8,343,Arthropoda
Amallothrix tropica,0.6316835,4.750059,0.08571584,0.3885714,32,Arthropoda
Amallothrix valida,1.718612,1.034433,0.008126561,0.4388186,55,Arthropoda
Amaryllis kamata,-0.1442977,6.153459,0.0999333,0.6575342,36,Arthropoda
Amathillopsis spinigera,0.3025787,3.044224,0,0.7234043,68,Arthropoda
Amathimysis brattegardi,0.2307272,7.568436,0,0.7317073,24,Arthropoda
Ambasiella murmanica,0.2054565,3.982753,0,0.6153846,32,Arthropoda
Ambunguipes rufocincta,0.01583423,5.144603,8.807379e-06,0.6137567,25,Arthropoda
Ameira longipes,0.04227896,5.283323,0,0.5906041,21,Arthropoda
Ameiropsis brevicornis,0.2477339,5.338854,0,0.6857142,24,Arthropoda
Americhelidium americanum,0.05768329,6.078759,0,0.8275862,831,Arthropoda
Americhelidium rectipalmum,0.3500117,5.991714,0,0.6349206,95,Arthropoda
Ameroculodes edwardsi,0.1473316,6.45518,0,0.8158845,828,Arthropoda
Amigdoscalpellum costellatum,0.453356,5.166188,0.08871344,0.5026738,48,Arthropoda
Amigdoscalpellum hispidum,0.02015822,5.22051,0,0.5454545,36,Arthropoda
Amigdoscalpellum rigidum,0.2014527,2.932605,0.06806936,0.6666666,20,Arthropoda
Ammothea allopodes,1.005007,1.189792,-0.001,0.4078947,22,Arthropoda
Ammothea calmani,0.531597,3.464791,0.02983376,0.6524823,24,Arthropoda
Ammothea carolinensis,1.049597,1.010823,0.003341525,0.71,378,Arthropoda
Ammothea clausi,0.8927534,1.314235,0.001106289,0.7484663,187,Arthropoda
Ammothea gigantea,0.9674038,1.019826,0.06570064,0.6614174,22,Arthropoda
Ammothea glacialis,0.9745466,1.026222,0.01386657,0.6973684,102,Arthropoda
Ammothea longispina,0.8630376,1.432086,0.01020653,0.5194805,58,Arthropoda
Ammothea meridionalis,0.9621963,1.010526,0.010006,0.3846154,26,Arthropoda
Ammothea minor,0.9342189,1.093235,-0.001,0.6040269,74,Arthropoda
Ammothea spinosa,1.029505,1.0483,0.06493346,0.6885246,50,Arthropoda
Ammothea striata,0.7523986,1.612772,-0.0005315352,0.6666666,53,Arthropoda
Ammothella rugulosa,0.03381637,5.625679,0,0.68,15,Arthropoda
Ampelisca aequicornis,0.06801993,5.405696,0,0.7672956,208,Arthropoda
Ampelisca agassizi,0.227971,7.741223,0,0.8857143,2885,Arthropoda
Ampelisca amblyops,0.9877367,1.821991,0.09793099,0.5806452,32,Arthropoda
Ampelisca anomala,0.6486117,6.63353,0,0.647482,525,Arthropoda
Ampelisca antarctica,0.9282398,1.167895,0.001530135,0.5915493,82,Arthropoda
Ampelisca anversensis,0.9430476,1.064874,0.01723795,0.5298014,33,Arthropoda
Ampelisca armoricana,0.05123416,5.104984,0,0.6944444,940,Arthropoda
Ampelisca barnardi,0.8043252,1.504621,0.0107947,0.8,113,Arthropoda
Ampelisca bicarinata,-0.3168012,4.031438,0.07345667,0.7557604,329,Arthropoda
Ampelisca birulai,0.3098047,3.371756,0.01217793,0.4166667,107,Arthropoda
Ampelisca bouvieri,0.9278369,1.103217,-0.001,0.6709677,87,Arthropoda
Ampelisca bransfieldi,0.450828,3.987096,0.03039726,0.5692308,47,Arthropoda
Ampelisca brevicornis,0.07344756,6.5204,0,0.7666667,12035,Arthropoda
Ampelisca brevisimulata,0.0669039,5.93459,0,0.6388889,156,Arthropoda
Ampelisca careyi,0.8436456,5.198046,0,0.7142857,243,Arthropoda
Ampelisca chiltoni,-0.1854117,5.809954,0,0.7681159,156,Arthropoda
Ampelisca cristata,0.4108372,10.81796,0,0.7755102,270,Arthropoda
Ampelisca cyclops,0.2504981,8.056108,0,0.7735849,103,Arthropoda
Ampelisca dallenei,0.4504627,2.525398,0.07997394,0.5360825,23,Arthropoda
Ampelisca declivitatis,0.4576426,5.007484,0.08698343,0.539823,86,Arthropoda
Ampelisca eschrichtii,0.1577369,4.591884,0,0.6775956,674,Arthropoda
Ampelisca furcigera,-2.863872,1.783005,0.082562,0.3398693,91,Arthropoda
Ampelisca gibba,0.09484182,5.494617,0,0.7422681,337,Arthropoda
Ampelisca hemicryptops,1.032687,1.041118,-0.001,0.4761904,42,Arthropoda
Ampelisca indentata,0.6848868,5.127454,0,0.5,37,Arthropoda
Ampelisca jingera,0.3150722,7.438889,0,0.6329114,15,Arthropoda
Ampelisca ledoyeri,0.01970771,5.157035,0,0.6097561,30,Arthropoda
Ampelisca macrocephala,0.1672808,6.397413,0,0.7672956,2045,Arthropoda
Ampelisca milleri,0.6115313,5.157814,0,0.5517241,13,Arthropoda
Ampelisca miops,-0.08010413,5.298223,0,0.672811,41,Arthropoda
Ampelisca odontoplax,0.1124538,4.702982,0,0.6111111,107,Arthropoda
Ampelisca pacifica,0.8557876,5.581285,0,0.4693878,85,Arthropoda
Ampelisca pectenata,0.2869016,5.518727,0,0.754717,61,Arthropoda
Ampelisca provincialis,0.1671505,5.417169,0,0.6060606,30,Arthropoda
Ampelisca pseudosarsi,0.2688087,5.711146,0,0.7,14,Arthropoda
Ampelisca richardsoni,0.9098657,1.212472,0.001533108,0.7320261,204,Arthropoda
Ampelisca romigi,-1.743985,3.313747,0.08684078,0.4217687,16,Arthropoda
Ampelisca sarsi,0.0576715,5.40466,0,0.7317073,1212,Arthropoda
Ampelisca schellenbergi,-0.6414542,2.900099,0.09280372,0.7231638,99,Arthropoda
Ampelisca spinifer,0.2246433,5.401325,0,0.7422681,69,Arthropoda
Ampelisca spinimana,0.4600928,6.666919,0,0.7448276,310,Arthropoda
Ampelisca spinipes,0.2041565,6.498224,0.0369335,0.8235294,7383,Arthropoda
Ampelisca tenuicornis,0.1515823,5.880372,0,0.8436019,8932,Arthropoda
Ampelisca toora,0.05220945,5.635926,0,0.5606061,38,Arthropoda
Ampelisca truncata,0.04786356,5.037644,0,0.6885246,79,Arthropoda
Ampelisca typica,0.09979586,5.64534,0,0.8571429,2831,Arthropoda
Ampelisca vadorum,0.1931319,7.408158,0,0.875502,1761,Arthropoda
Ampelisca venetiensis,0.3513167,8.978552,0,0.7142857,43,Arthropoda
Ampelisca verrilli,0.04795554,5.610389,0,0.8,1340,Arthropoda
Ampelisciphotis podophthalma,-0.03507141,5.014284,0,0.8,44,Arthropoda
Amphiascoides subdebilis,0.01266421,5.157341,0,0.7012987,42,Arthropoda
Amphiascopsis cinctus,0.1892751,6.135896,0.04888531,0.5093168,21,Arthropoda
Amphiascus parvulus,0.01960133,5.738815,0,0.71875,307,Arthropoda
Amphibalanus subalbidus,-0.01261981,5.443692,0,0.7555556,26,Arthropoda
Amphibalanus venustus,0.05595201,5.699773,0,0.7536232,87,Arthropoda
Amphideutopus oculatus,0.04880654,4.84817,0,0.72,111,Arthropoda
Amphilochella simplicarpa,0.4626761,3.500903,-0.001,0.7241379,66,Arthropoda
Amphilochoides boecki,0.4380434,7.482673,0,0.7039106,155,Arthropoda
Amphilochus manudens,0.1855467,5.504005,0,0.8617886,883,Arthropoda
Amphilochus tenuimanus,0.1499511,4.753755,0,0.6393443,136,Arthropoda
Amphionides reynaudii,0.07576616,5.114377,0,0.6923077,32,Arthropoda
Amphiporeia lawrenciana,0.3683101,4.079878,0.04528773,0.5735294,29,Arthropoda
Amphiporeia virginiana,0.3463017,4.628979,0.0334015,0.5903615,34,Arthropoda
Amphithopsis longicaudata,1.062701,1.174767,0.05675671,0.5871559,57,Arthropoda
Anamathia rissoana,0.2162353,6.278133,0.01299935,0.4576271,20,Arthropoda
Anamixis vanga,-0.9760621,1.284936,0.08050384,0.6133333,13,Arthropoda
Anapagurus breviaculeatus,0.1509015,5.557114,0,0.8333333,179,Arthropoda
Anapagurus chiroacanthus,0.1328096,5.453721,0,0.8378378,267,Arthropoda
Anapagurus hendersoni,0.8007228,10.5633,0,0.625,15,Arthropoda
Anapagurus laevis,0.1366211,5.896209,0,0.8379889,1069,Arthropoda
Anapagurus petiti,0.07866689,5.383245,0,0.6666666,34,Arthropoda
Anapagurus pusillus,0.06556859,5.292835,0,0.7234043,17,Arthropoda
Anarthron dithrix,0.5434197,3.181751,0,0.6829268,67,Arthropoda
Anasimus latus,0.5400541,14.19392,0,0.8301887,304,Arthropoda
Anawekia bilobata,-0.9496595,1.086168,0.08062583,0.4590164,14,Arthropoda
Anchialina agilis,0.0828742,5.641752,0,0.7402598,695,Arthropoda
Anchialina dentata,1.754206,147.9953,0,0.6845638,49,Arthropoda
Anchialina typica,1.412051,88.71386,0,0.875,252,Arthropoda
Anchiphimedia dorsalis,0.219335,6.287275,-0.001,0.6212121,29,Arthropoda
Anchisquilla fasciata,0.1545914,6.997081,0,0.7735849,116,Arthropoda
Anchisquilla fasciaticauda,0.2138594,7.478866,0,0.6933333,79,Arthropoda
Anchisquilloides mcneilli,0.1049962,6.471063,0,0.6490066,145,Arthropoda
Anchistioides antiguensis,0.3007636,9.316939,0,0.7826087,75,Arthropoda
Anchistioides compressus,0.6698182,18.38593,0,0.6956522,23,Arthropoda
Ancylodactyla elongata,1.291198,15.44774,0,0.3793104,19,Arthropoda
Ancylodactyla nana,0.4102151,7.266292,0,0.4848485,40,Arthropoda
Ancylomenes pedersoni,-0.5792594,2.156094,0.06764989,0.647619,194,Arthropoda
Ancylomenes tosaensis,0.532561,13.97575,0,0.6666666,20,Arthropoda
Andaniella pectinata,0.06093256,4.765883,0,0.5245901,24,Arthropoda
Andaniexis abyssi,0.07237759,4.630791,0,0.5797101,31,Arthropoda
Andaniopsis nordlandica,0.2757034,6.213917,0.06837511,0.6373626,57,Arthropoda
Andaniopsis pectinata,0.9117152,1.867447,0,0.6122449,43,Arthropoda
Andaniotes linearis,0.993112,1.06589,0.03072957,0.6728972,103,Arthropoda
Andaniotes pseudolinearis,0.9252045,1.144274,-0.0001860075,0.5755396,36,Arthropoda
Andaniotes wallaroo,0.1875113,5.617409,0,0.6037736,20,Arthropoda
Aniculus maximus,0.1921113,6.905291,0,0.7272727,21,Arthropoda
Anilocra haemuli,-0.5868134,2.163025,0.08098346,0.5321101,24,Arthropoda
Animoceradocus semiserratus,0.01253588,5.814507,0.01271782,0.7860262,1440,Arthropoda
Anisopagurus bartletti,0.3545986,9.065347,0,0.4271845,23,Arthropoda
Anomalocera ornata,-0.02344746,5.021844,0,0.673913,30,Arthropoda
Anonychocheirus richardsoni,0.5397375,2.64195,-0.001,0.6981132,74,Arthropoda
Anonyx affinis,0.8826453,1.004426,0.05776773,0.5546218,33,Arthropoda
Anonyx debruynii,0.1739798,6.311332,0,0.559322,104,Arthropoda
Anonyx laticoxae,0.9194248,1.187143,0.07293785,0.4736842,19,Arthropoda
Anonyx lilljeborgi,0.6868824,6.154667,0,0.7897436,426,Arthropoda
